id,ahu,air,airCooling,airRef,area,boiler,bypass,chilled,chilledWaterCooling,chilledWaterRef,chiller,cmd,computed,cool,cooling,cur,damper,daytime,delta,directZone,dis,discharge,domestic,effective,elecHeating,enable,entering,enum,equip,equipRef,exhaust,fan,fanPowered,fcu,flow,geoAddr,geoCity,geoCoord,geoCountry,geoCounty,geoPostalCode,geoState,geoStreet,heat,heating,his,hot,hotWaterHeating,hotWaterRef,humidifier,humidity,hvac,kind,leaving,maxVal,minVal,mixed,outside,plant,primaryLoop,point,pointFunction,pressure,primaryFunction,pump,return,rtu,run,sensor,singleDuct,site,siteRef,sp,space,spaceRef,speed,steam,temp,thermostat,tz,unit,valve,vav,vavZone,water,weather,weatherCond,weatherStationRef,weatherStation,yearBuilt,zone,custom
@b-000d,"","","","","","","","","","","","","","","","","","","","",Bravo BCUs,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",@b-0000,"",✓,"","","","","","","","","","","","","","","","","",{equipType}
@b-000e,"","","","","",✓,"","","","","","","","","","","","","","",Bravo Boiler 1,"","","","","","","",✓,"","","","","","","","","","","","","","","","","","","",@b-0012,"","",✓,"","","","","","","","","","","","","","","","","","","",@b-0000,"","",@b-00ab,"","","","","","","","","","","","","","","","","{designSource:Drawings, designHotWaterPower:4200MMBTU/h, designMake:Bryan Boiler, designModel:RV-500W}"
@b-000f,"","","","","",✓,"","","","","","","","","",✓,"","","","",Bravo Boiler 1 Boiler Status,"","","","","","","","",@b-000e,"","","","","","","","","","","","","","","",✓,"","","","","","",Bool,"","","","","","","",✓,"","","","","","",✓,✓,"","",@b-0000,"","",@b-00ab,"","","","",Chicago,"","","","","","","","","","","","{sourcePointName:HwBlr1Sts, dataSyncRecovered:2020-07-10T01:00:10.745-04:00 New_York, inScope, backgroundPoint}"
@b-0010,"","","","","",✓,"","","","","","","","","","","","","","",Bravo Boiler 2,"","","","","","","",✓,"","","","","","","","","","","","","","","","","","","",@b-0012,"","",✓,"","","","","","","","","","","","","","","","","","","",@b-0000,"","",@b-00ab,"","","","","","","","","","","","","","","","","{designSource:Drawings, designHotWaterPower:4200MMBTU/h, designMake:Bryan Boiler, designModel:RV-500W}"
@b-0011,"","","","","",✓,"","","","","","","","","",✓,"","","","",Bravo Boiler 2 Boiler Status,"","","","","","","","",@b-0010,"","","","","","","","","","","","","","","",✓,"","","","","","",Bool,"","","","","","","",✓,"","","","","","",✓,✓,"","",@b-0000,"","",@b-00ab,"","","","",Chicago,"","","","","","","","","","","","{sourcePointName:HwBlr2Sts, dataSyncRecovered:2020-07-10T01:00:10.62-04:00 New_York, inScope, backgroundPoint}"
@b-0012,"","","","","","","","","","","","","","","","","","","","",Bravo Boiler Plant,"","","","","","","",✓,"","","","","","","","","","","","","","","","","",✓,"","","","",✓,"","","","","","",✓,"","","","","","","","","","","","",@b-0000,"","",@b-00ab,"","","","","","","","","",✓,"","","","","","",""
@b-0013,"","","","","","","","","","","","","","","",✓,"","","","",Bravo Boiler Plant Domestic Hot Water Leaving Temperature Setpoint,"",✓,"","","","","","",@b-0012,"","","","","","","","","","","","","","","",✓,✓,"","","","","",Number,✓,"","","","","","",✓,"","","","","","","","","","",@b-0000,✓,"",@b-00ab,"","",✓,"",Chicago,°F,"","","",✓,"","","","","","","{sourcePointName:HwSp, dataSyncRecovered:2020-07-10T01:00:10.87-04:00 New_York, inScope, backgroundPoint}"
@b-0014,"","","","","","","","","","","","","","","",✓,"","",✓,"",Bravo Boiler Plant Heating Hot Water Differential Pressure Setpoint,"","","","","","","","",@b-0012,"","","","","","","","","","","","","","","",✓,✓,"","","","","",Number,"","","","","","","",✓,"",✓,"","","","","","","","",@b-0000,✓,"",@b-00ab,"","","","",Chicago,psi,"","","",✓,"","","","","","","{sourcePointName:HWDifSP, dataSyncRecovered:2020-07-10T01:00:10.497-04:00 New_York, inScope, backgroundPoint}"
@b-0015,"","","","","","","","","","","","","","","",✓,"","","","",Bravo Boiler Plant Heating Hot Water Return Temperature,"","","","","","","","",@b-0012,"","","","","","","","","","","","","","",✓,✓,"","","","","","",Number,✓,"","","","","","",✓,"","","","","","","",✓,"","",@b-0000,"","",@b-00ab,"","",✓,"",Chicago,°F,"","","",✓,"","","","","","","{sourcePointName:HWRTEMP, dataSyncRecovered:2020-07-10T01:00:13.145-04:00 New_York, inScope, backgroundPoint}"
@b-0016,"","","","","","","","","","","","","","","",✓,"","","","",Bravo Boiler Plant Heating Hot Water Supply Temperature,"","","","","","","","",@b-0012,"","","","","","","","","","","","","","","",✓,✓,"","","","","",Number,✓,"","","","","","",✓,"","","","","","","",✓,"","",@b-0000,"","",@b-00ab,"","",✓,"",Chicago,°F,"","","",✓,"","","","","","","{sourcePointName:HWSTEMP, dataSyncRecovered:2020-07-10T01:00:10.374-04:00 New_York, inScope, backgroundPoint}"
@b-0017,"","","","","","","","","","","","","","","","","","","","",Bravo CHW System,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",@b-0000,"",✓,"","","","","","","","","","","","","","","","","",{equipType}
@b-0018,"","","","","","","",✓,"","","","","","","","","","","","",Bravo CHWP-1,"","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","","",✓,"","","","","","",@b-0000,"","",@b-0017,"","","","","","","","","",✓,"","","","","","",""
@b-0019,"","","","","","","",✓,"","","","","","","",✓,"","","","",Bravo CHWP-1 Chilled Water Pump Enable,"","","","","","","Stop,Running","",@b-0018,"","","","","","","","","","","","","","","",✓,"","","","","","",Bool,"","","","","","","",✓,"","","",✓,"","","",✓,"","",@b-0000,"","",@b-0017,"","","","",Chicago,"","","","",✓,"","","","","","","{poinTags:point and chilled and water and cmd and pump, dataSyncRecovered:2020-07-10T01:00:10.62-04:00 New_York, backgroundPoint}"
@b-001a,"","","","","","","",✓,"","","","","","","",✓,"","","","",Bravo CHWP-1 Chilled Water Pump VFD Speed,"","","","","","","","",@b-0018,"","","","","","","","","","","","","","","",✓,"","","","","","",Number,"","","","","","","",✓,"","","",✓,"","","",✓,"","",@b-0000,"","",@b-0017,✓,"","","",Chicago,%,"","","",✓,"","","","","","","{dataSyncDownSince:2020-07-14T01:00:03.512-04:00 New_York, precision:2, dataSyncType:error, backgroundPoint}"
@b-001b,"","","","","","","",✓,"","","","","","","","","","","","",Bravo CHWP-2,"","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","","",✓,"","","","","","",@b-0000,"","",@b-0017,"","","","","","","","","",✓,"","","","","","",""
@b-001c,"","","","","","","",✓,"","","","","","","",✓,"","","","",Bravo CHWP-2 Chilled Water Pump Enable,"","","","","","","Stop,Running","",@b-001b,"","","","","","","","","","","","","","","",✓,"","","","","","",Bool,"","","","","","","",✓,"","","",✓,"","","",✓,"","",@b-0000,"","",@b-0017,"","","","",Chicago,"","","","",✓,"","","","","","","{dataSyncRecovered:2020-07-10T01:00:09.752-04:00 New_York, backgroundPoint}"
@b-001d,"","","","","","","",✓,"","","","","","","",✓,"","","","",Bravo CHWP-2 Chilled Water Pump VFD Speed,"","","","","","","","",@b-001b,"","","","","","","","","","","","","","","",✓,"","","","","","",Number,"","","","","","","",✓,"","","",✓,"","","",✓,"","",@b-0000,"","",@b-0017,✓,"","","",Chicago,%,"","","",✓,"","","","","","","{precision:2, dataSyncRecovered:2020-07-10T01:00:07.598-04:00 New_York, backgroundPoint}"
@b-001e,"","","","","","","",✓,"","","","","","","","","","","","",Bravo Chilled Water Plant,"","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","","",✓,"","","","","","","","","","","","",@b-0000,"","",@b-0017,"","","","","","","","","",✓,"","","","","","",""
@b-001f,"","","","","","","","","","","",✓,"","",✓,✓,"","","","",Bravo Chilled Water Plant AHU Cooling Enable,"","","","",✓,"","","",@b-001e,"","","","","","","","","","","","","","","",✓,"","","","","","",Bool,"","","","","","","",✓,"","","","","","","","","","",@b-0000,"","",@b-0017,"","","","",Chicago,"","","","","","","","","","","","{sourcePointName:AHUClgEnable, dataSyncRecovered:2020-07-10T01:00:11.125-04:00 New_York, backgroundPoint}"
@b-0020,"","","","","","","","","","","",✓,"","","",✓,"","","","",Bravo Chilled Water Plant AHU Heating Enable,"","","","",✓,"","","",@b-001e,"","","","","","","","","","","","","","",✓,✓,"","","","","","",Bool,"","","","","","","",✓,"","","","","","","","","","",@b-0000,"","",@b-0017,"","","","",Chicago,"","","","","","","","","","","","{sourcePointName:AHUHtgEnable, dataSyncRecovered:2020-07-10T01:00:10.374-04:00 New_York, backgroundPoint}"
@b-0021,"","","","","","","","","","","","","","","",✓,"","","","",Bravo Chilled Water Plant CV-1 Valve Signal (HHW),"","","","","","","","",@b-001e,"","","","","","","","","","","","","","","",✓,✓,"","","","","",Number,"",100,0,"","","","",✓,"","","","","","","",✓,"","",@b-0000,"","",@b-0017,"","","","",Chicago,%,✓,"","",✓,"","","","","","","{precision:2, dataSyncRecovered:2020-07-10T01:00:10.995-04:00 New_York, backgroundPoint}"
@b-0022,"","","","","","",✓,✓,"","","","","","","",✓,"","","","",Bravo Chilled Water Plant CV-2 Valve Signal (Bypass Valve),"","","","","","","","",@b-001e,"","","","","","","","","","","","","","","",✓,"","","","","","",Number,"",100,0,"","","","",✓,"","","","","","","",✓,"","",@b-0000,"","",@b-0017,"","","","",Chicago,%,✓,"","",✓,"","","","","","","{precision:2, dataSyncRecovered:2020-07-10T01:00:10.126-04:00 New_York, signal, backgroundPoint}"
@b-0023,"","","","","","","",✓,"","","","","","","",✓,"","","","",Bravo Chilled Water Plant CV-3 Valve Signal,"","","","","","","","",@b-001e,"","","","","","","","","","","","","","","",✓,"","","","","","",Number,"",100,0,"","","","",✓,"","","","","","","",✓,"","",@b-0000,"","",@b-0017,"","","","",Chicago,%,✓,"","",✓,"","","","","","","{precision:0, dataSyncRecovered:2020-07-10T01:00:07.473-04:00 New_York, signal, backgroundPoint}"
@b-0024,"","","","","","","",✓,"","","","","","","",✓,"","","","",Bravo Chilled Water Plant CV-4 Valve Signal,"","","","","","","","",@b-001e,"","","","","","","","","","","","","","","",✓,"","","","","","",Number,"",100,0,"","","","",✓,"","","","","","","",✓,"","",@b-0000,"","",@b-0017,"","","","",Chicago,%,✓,"","",✓,"","","","","","","{precision:0, dataSyncRecovered:2020-07-10T01:00:10.126-04:00 New_York, signal, backgroundPoint}"
@b-0025,"","","","","","","",✓,"","","","","","","",✓,"","",✓,"",Bravo Chilled Water Plant Chilled Water Differential Pressure,"","","","","","","","",@b-001e,"","","","","","","","","","","","","","","",✓,"","","","","","",Number,"","","","","","","",✓,"",✓,"","","","","",✓,"","",@b-0000,"","",@b-0017,"","","","",Chicago,psi,"","","",✓,"","","","","","","{precision:2, dataSyncRecovered:2020-07-10T01:00:10.249-04:00 New_York, pointType:, backgroundPoint}"
@b-0026,"","","","","","","",✓,"","","","","","","",✓,"","",✓,"",Bravo Chilled Water Plant Chilled Water Differential Pressure Setpoint,"","","","","","","","",@b-001e,"","","","","","","","","","","","","","","",✓,"","","","","","",Number,"","","","","","",✓,✓,"",✓,"","","","","",✓,"","",@b-0000,"","",@b-0017,"","","","",Chicago,psi,"","","",✓,"","","","","","","{predictionConf:0.3397244142906628, sourcePointName:ChwDifSP, dataSyncRecovered:2020-07-10T01:00:09.627-04:00 New_York, inScope, backgroundPoint}"
@b-0027,"","","","","","","",✓,"","","","","","","",✓,"","","","",Bravo Chilled Water Plant Chilled Water Entering Temperature,"","","","","",✓,"","",@b-001e,"","","","","","","","","","","","","","","",✓,"","","","","","",Number,"","","","","","",✓,✓,"","","","","","","",✓,"","",@b-0000,"","",@b-0017,"","",✓,"",Chicago,°F,"","","",✓,"","","","","","","{predictionConf:0.787900067809321, sourcePointName:CHWRTEMP, dataSyncRecovered:2020-07-10T01:00:10.497-04:00 New_York, inScope, backgroundPoint}"
@b-0028,"","","","","","","",✓,"","","","","","","",✓,"","","","",Bravo Chilled Water Plant Chilled Water Leaving Temperature,"","","","","","","","",@b-001e,"","","","","","","","","","","","","","","",✓,"","","","","","",Number,✓,"","","","","",✓,✓,"","","","","","","",✓,"","",@b-0000,"","",@b-0017,"","",✓,"",Chicago,°F,"","","",✓,"","","","","","","{predictionConf:0.787900067809321, sourcePointName:ChwsTemp, dataSyncRecovered:2020-07-10T01:00:10.003-04:00 New_York, inScope, backgroundPoint}"
@b-0029,"","","","","","","","","","","","","","","","","","","","",Bravo Chilled Water Plant Chilled Water dT (Auto-computed),"","","","","","","","",@b-001e,"","","","","","","","","","","","","","","",✓,"","","","","","",Number,"","","","","","","",✓,"","","","","","","","","","",@b-0000,✓,"",@b-0017,"","","","",Chicago,"","","","","","","","","","","","{cache, dataSyncDownSince:2020-03-12T01:00:04.793-04:00 New_York, dataSyncType:error, backgroundPoint}"
@b-002a,"","","","","","","","","","",✓,"","","","",✓,"","","","",Bravo Chilled Water Plant Chiller Status,"","","","","","","","",@b-001e,"","","","","","","","","","","","","","","",✓,"","","","","","",Bool,"","","","","","","",✓,"","","","","","",✓,✓,"","",@b-0000,"","",@b-0017,"","","","",Chicago,"","","","","","","","","","","","{predictionConf:0.15013386549340826, sourcePointName:RunSTATUS, dataSyncRecovered:2020-07-10T01:00:10.003-04:00 New_York, inScope, backgroundPoint}"
@b-002b,"","","","","","","","","","","","","","","","","","","","",Bravo Chilled Water Plant Efficiency (Auto-computed),"","","","","","","","",@b-001e,"","","","","","","","","","","","","","","",✓,"","","","","","",Number,"","","","","","","",✓,"","","","","","","","","","",@b-0000,✓,"",@b-0017,"","","","",Chicago,kW/ton,"","","","","","","","","","","{cache, dataSyncRecovered:2020-07-14T01:00:05.167-04:00 New_York, backgroundPoint}"
@b-002c,"","",✓,"","","","","","",@b-001e,✓,"","","","","","","","","",Bravo Chiller 1,"","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","",@b-0000,"","",@b-0017,"","","","","","","","","","","","","","","","","{designElecPower:180kW, designEfficiency:10.6EER, designSource:Drawings, designChilledWaterPower:160tonref, designChilledWaterLeavingTemp:44°F, designMake:Mcquay, designChilledWaterEnteringTemp:58°F, designChilledWaterDeltaPressure:18.61psi, designModel:AGS-160C, designChilledWaterFlow:275gal/min}"
@b-002d,"","","","","","","",✓,"","","","","","","",✓,"","","","",Bravo Chiller 1 Chilled Water Entering Temperature,"","","","","",✓,"","",@b-002c,"","","","","","","","","","","","","","","",✓,"","","","","","",Number,"","","","","","","",✓,"","","","","","","",✓,"","",@b-0000,"","",@b-0017,"","",✓,"",Chicago,°F,"","","",✓,"","","","","","","{predictionConf:0.38428817764444545, sourcePointName:CH1_EntChwTemp, dataSyncRecovered:2020-07-10T01:00:10.87-04:00 New_York, inScope, backgroundPoint}"
@b-002e,"","","","","","","",✓,"","","","","","","",✓,"","","","",Bravo Chiller 1 Chilled Water Leaving Temperature,"","","","","","","","",@b-002c,"","","","","","","","","","","","","","","",✓,"","","","","","",Number,✓,"","","","","","",✓,"","","","","","","",✓,"","",@b-0000,"","",@b-0017,"","",✓,"",Chicago,°F,"","","",✓,"","","","","","","{predictionConf:0.34916172794461753, sourcePointName:CH1_LeavChwTemp, dataSyncRecovered:2020-07-10T01:00:09.879-04:00 New_York, inScope, backgroundPoint}"
@b-002f,"","","","","","","","","","","","","","","","","","","","",Bravo Chiller 1 Chilled Water dT (Auto-computed),"","","","","","","","",@b-002c,"","","","","","","","","","","","","","","",✓,"","","","","","",Number,"","","","","","","",✓,"","","","","","","","","","",@b-0000,✓,"",@b-0017,"","","","",Chicago,"","","","","","","","","","","","{cache, dataSyncDownSince:2020-03-12T01:00:04.793-04:00 New_York, dataSyncType:error, backgroundPoint}"
@b-0030,"","","","","","","",✓,"","",✓,"","","","",✓,"","","","",Bravo Chiller 1 Chiller 1 Setpoint,"","","","","","","","",@b-002c,"","","","","","","","","","","","","","","",✓,"","","","","","",Number,✓,"","","","","","",✓,"","","","","","","","","","",@b-0000,✓,"",@b-0017,"","",✓,"",Chicago,°F,"","","",✓,"","","","","","","{predictionConf:0.42372423437084655, sourcePointName:CH1_CHW_SP, dataSyncRecovered:2020-07-10T01:00:10.003-04:00 New_York, pointType:, inScope, backgroundPoint}"
@b-0031,"","","","","","","","","","",✓,"","","","",✓,"","","","",Bravo Chiller 1 Chiller Act. Capacity,"","","","","","","","",@b-002c,"","","","","","","","","","","","","","","",✓,"","","","","","",Number,"","","","","","","",✓,"","","","","","","",✓,"","",@b-0000,"","",@b-0017,"","","","",Chicago,%,"","","","","","","","","","","{act, precision:2, dataSyncRecovered:2020-07-10T01:00:10.995-04:00 New_York, backgroundPoint, capacity}"
@b-0032,"","","","","","","","","","",✓,✓,"","","",✓,"","","","",Bravo Chiller 1 Chiller Enable,"","","","","","","","",@b-002c,"","","","","","","","","","","","","","","",✓,"","","","","","",Bool,"","","","","","","",✓,"","","","","","",✓,"","","",@b-0000,"","",@b-0017,"","","","",Chicago,"","","","","","","","","","","","{predictionConf:0.2769995097894551, sourcePointName:CH1_Clr1Cmd, dataSyncRecovered:2020-07-10T01:00:10.87-04:00 New_York, inScope, backgroundPoint}"
@b-0033,"","","","","","","","","","",✓,"","","","",✓,"","","","",Bravo Chiller 1 Chiller Status,"","","","","","","","",@b-002c,"","","","","","","","","","","","","","","",✓,"","","","","","",Bool,"","","","","","","",✓,"","","","","","",✓,✓,"","",@b-0000,"","",@b-0017,"","","","",Chicago,"","","","","","","","","","","","{predictionConf:0.33026119584467384, sourcePointName:CH1_ChlrSts, dataSyncRecovered:2020-07-10T01:00:10.995-04:00 New_York, inScope, backgroundPoint}"
@b-0034,"","",✓,"","","","","","",@b-001e,✓,"","","","","","","","","",Bravo Chiller 2,"","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","",@b-0000,"","",@b-0017,"","","","","","","","","","","","","","","","","{designElecPower:180kW, designEfficiency:10.6EER, designSource:Drawings, designChilledWaterPower:160tonref, designChilledWaterLeavingTemp:44°F, designMake:Mcquay, designChilledWaterEnteringTemp:58°F, designChilledWaterDeltaPressure:18.61psi, designModel:AGS-160C, designChilledWaterFlow:275gal/min}"
@b-0035,"","","","","","","",✓,"","","","","","","",✓,"","","","",Bravo Chiller 2 Chilled Water Entering Temperature,"","","","","",✓,"","",@b-0034,"","","","","","","","","","","","","","","",✓,"","","","","","",Number,"","","","","","","",✓,"","","","","","","",✓,"","",@b-0000,"","",@b-0017,"","",✓,"",Chicago,°F,"","","",✓,"","","","","","","{predictionConf:0.38428817764444545, sourcePointName:CH2_EntChwTemp, dataSyncRecovered:2020-07-10T01:00:10.497-04:00 New_York, inScope, backgroundPoint}"
@b-0036,"","","","","","","",✓,"","","","","","","",✓,"","","","",Bravo Chiller 2 Chilled Water Leaving Temperature,"","","","","","","","",@b-0034,"","","","","","","","","","","","","","","",✓,"","","","","","",Number,✓,"","","","","","",✓,"","","","","","","",✓,"","",@b-0000,"","",@b-0017,"","",✓,"",Chicago,°F,"","","",✓,"","","","","","","{predictionConf:0.34916172794461753, sourcePointName:CH2_LeavChwTemp, dataSyncRecovered:2020-07-10T01:00:09.752-04:00 New_York, inScope, backgroundPoint}"
@b-0037,"","","","","","","","","","","","","","","","","","","","",Bravo Chiller 2 Chilled Water dT (Auto-computed),"","","","","","","","",@b-0034,"","","","","","","","","","","","","","","",✓,"","","","","","",Number,"","","","","","","",✓,"","","","","","","","","","",@b-0000,✓,"",@b-0017,"","","","",Chicago,"","","","","","","","","","","","{cache, dataSyncDownSince:2020-03-12T01:00:04.793-04:00 New_York, dataSyncType:error, backgroundPoint}"
@b-0038,"","","","","","","",✓,"","",✓,"","","","",✓,"","","","",Bravo Chiller 2 Chiller 2 Setpoint,"","","","","","","","",@b-0034,"","","","","","","","","","","","","","","",✓,"","","","","","",Number,✓,"","","","","","",✓,"","","","","","","","","","",@b-0000,✓,"",@b-0017,"","",✓,"",Chicago,°F,"","","",✓,"","","","","","","{predictionConf:0.42372423437084655, sourcePointName:CH2_CHW_SP, dataSyncRecovered:2020-07-10T01:00:10.374-04:00 New_York, pointType:, inScope, backgroundPoint}"
@b-0039,"","","","","","","","","","",✓,"","","","",✓,"","","","",Bravo Chiller 2 Chiller Act. Capacity,"","","","","","","","",@b-0034,"","","","","","","","","","","","","","","",✓,"","","","","","",Number,"","","","","","","",✓,"","","","","","","",✓,"","",@b-0000,"","",@b-0017,"","","","",Chicago,%,"","","","","","","","","","","{act, precision:2, dataSyncRecovered:2020-07-10T01:00:09.627-04:00 New_York, backgroundPoint, capacity}"
@b-003a,"","","","","","","","","","",✓,✓,"","","",✓,"","","","",Bravo Chiller 2 Chiller Enable,"","","","","","","","",@b-0034,"","","","","","","","","","","","","","","",✓,"","","","","","",Bool,"","","","","","","",✓,"","","","","","",✓,"","","",@b-0000,"","",@b-0017,"","","","",Chicago,"","","","","","","","","","","","{predictionConf:0.2769995097894551, sourcePointName:CH2_Clr1Cmd, dataSyncRecovered:2020-07-10T01:00:11.258-04:00 New_York, inScope, backgroundPoint}"
